titulo,autores,anio,revista,doi,bloque,consulta,fuente_api,resumen
Manzana fresca cortada tratada con aditivos naturales: calidad y aspectos estructurales Fresh-cut apple treated with natural additives: quality and structural aspects,"Alandes, L.; Quiles, A.; Pérez-Munuera, I.; Hernando, I.",2011,CyTA - Journal of Food,10.1080/19476330903503361,B_aditivos_envasados_mx,"""aditivos alimentarios"" preenvasados",Crossref,
"Efectos aditivos de las combinaciones variables de LPL, APOA5 y APOE en los niveles de triglicéridos e hipertrigliceridemia: resultados del subestudio genético ICARIA","Millán Pérez, Joaquín J.",2011,Clínica e Investigación en Arteriosclerosis,10.1016/j.arteri.2011.03.004,B_aditivos_envasados_mx,"""aditivos alimentarios"" preenvasados",Crossref,
Misturas NR/SBR: influência da ordem de adição dos aditivos da mistura e do tipo de carga sobre propriedades mecânicas,"Coelho, Daniel de B.; Mariano, Roberta M.; Zine, Carmen L. G.; Nunes, Regina C. R.; Visconte, Leila L. Y.",2011,Polímeros,10.1590/s0104-14282011005000040,B_aditivos_envasados_mx,"""aditivos alimentarios"" preenvasados",Crossref," Neste trabalho foram preparadas misturas de borracha natural (NR) e copolímero de estireno-butadieno (SBR) na proporção 1:1 em massa. A sequência de adição dos aditivos e a influência de cargas, como negro de fumo e mica, foram avaliadas com relação a propriedades físico-mecânicas. As misturas, feitas em misturador aberto de rolos segundo a norma ASTM D 3182, foram realizadas de quatro modos diferentes para a incorporação dos aditivos. Os vulcanizados foram investigados com relação às propriedades reométricas, propriedades mecânicas de resistências à tração e ao rasgamento, dureza (shore A) e pela densidade de ligações cruzadas, de acordo a respectiva norma ASTM. Os resultados mostram que melhores desempenhos são obtidos quando os aditivos são primeiramente incorporados à SBR. Também foi verificada a superioridade do negro de fumo no aumento da maioria das propriedades mecânicas dos elastômeros, seja na composição com apenas uma das borrachas, seja nas composições com as duas borrachas misturadas. "
Lodos procedentes de la industria de tratamiento de superficies metálicas como aditivos a matrices cerámicas,"Corpas Iglesias, F. A.; Pérez Villarejo, L.; Benítez Guerrero, M.; Artiaga Díaz, R.; Pascual Cosp, J.",2011,Boletín de la Sociedad Española de Cerámica y Vidrio,10.3989/cyv.162011,B_aditivos_envasados_mx,"""aditivos alimentarios"" preenvasados",Crossref,
Consumo e digestibilidade aparente de silagens de Brachiaria brizantha cv marandu adicionada de aditivos,"Jayme, C.G.; Gonçalves, L.C.; Molina, L.R.; Jayme, D.G.; Pires, D.A.A.; Borges, I.; Castro, G.H.F.",2011,Arquivo Brasileiro de Medicina Veterinária e Zootecnia,10.1590/s0102-09352011000300023,B_aditivos_envasados_mx,"""aditivos alimentarios"" preenvasados",Crossref," Avaliaram-se o consumo e a digestibilidade aparente da matéria seca, da proteína bruta e da energia e o balanço de nitrogênio de silagens de Brachiaria brizantha cvmarandusem aditivos (T1), B. brizantha cvmarandu + inoculante bacteriano Sil-ALL C4 (T2), B. brizantha cvmarandu + inoculante bacteriano Bactosilo C Tropical (T3) e B. brizantha cvmarandu + 30% de cana-de-açúcar (T4) em ovinos. Não foram observadas diferenças no consumo de matéria seca (MS), proteína bruta (PB), energia bruta (EB), energia digestível (ED) e energia metabolizável (EM) entre os tratamentos (P&gt;0,05). Os maiores valores de digestibilidade aparente da MS, PB e EB foram para o T2, de 60,9%, 44,3% e 57,5%, respectivamente, e os menores para o T4, 53,0%, 30,0% e 49,5%, respectivamente (P&lt;0,05). Todos os tratamentos apresentaram balanço de nitrogênio positivo e não diferiram entre si. A utilização de inoculantes bacterianos ou cana-de-açúcar não indicou aumento de consumo da matéria seca e energia das silagens. O inoculante SiL ALL C4 (T2) mostrou-se eficiente em aumentar o consumo e a digestibilidade da PB. "
Fundamentos sobre o conhecimento dos aditivos químicos presentes nas luvas de borracha,"Oliveira, Hegles Rosa de; Alchorne, Alice de Oliveira de Avelar",2011,Anais Brasileiros de Dermatologia,10.1590/s0365-05962011000500008,B_aditivos_envasados_mx,"""aditivos alimentarios"" preenvasados",Crossref," FUNDAMENTOS: Uma das causas mais frequentes de dermatite de contato alérgica, de origem ocupacional, são os aditivos da borracha, presentes nos Equipamentos de Proteção Individual. Os aditivos das luvas natural e sintética mais alergênicos são tiurams, mercaptos e carbamatos. OBJETIVO: levantar o nível de conhecimento em relação aos aditivos químicos utilizados na fabricação das luvas de borracha sintética. MÉTODOS: Foi aplicado um questionário aberto a profissionais que trabalham com fabricação, pesquisa, prescrição e comercialização das luvas. Foi adotado o método de pesquisa qualitativa. RESULTADOS: Foram entrevistadas 30 pessoas: 4 pesquisadores na área de Medicina do Trabalho, 5 médicos do Trabalho, 2 técnicos de segurança do Trabalho, 1 médico do sindicato de trabalhadores da borracha, 1 engenheiro de Segurança do Trabalho, 1 engenheira de Produção do setor de fabricação de luvas de borracha, 4 empresários importadores de luvas, 1 empresário fabricante de luvas, 3 empresários que comercializavam Equipamentos de Proteção Individual, 3 vendedores de lojas de Equipamentos de Proteção Individual, 2 empresários de lojas que comercializavam produtos para alérgicos e 3 dermatologistas. CONCLUSÃO: O conhecimento da composição química das luvas é pequeno. A rotulagem das luvas, com a descrição da composição química, facilitaria a escolha do melhor tipo de luva para cada pessoa. Esta ação, de baixo custo para as empresas, seria um ganho, do ponto de vista da saúde pública, e ter"
Uso de aditivos biológicos na ensilagem de forrageiras,"Oliveira, Marcos Rogério; Neumann, Mikael; Oliboni, Rodrigo; Gobetti, Suelen Tulio de Córdova; Faria, Marcos Ventura",2011,Revista Ambiência,10.5777/ambiencia.2011.03.01rb,B_aditivos_envasados_mx,"""aditivos alimentarios"" preenvasados",Crossref,
Composição e pH de silagem de cana-de-açúcar com aditivos químicos e microbiológicos,"Miranda, Daniel César Leite; Dias Júnior, Gilson Sebastião; Lopes, Fernanda; Pereira, Renata Apocalypse Nogueira; Pereira, Marcos Neves",2011,Revista de Ciências Agrárias,10.4322/rca.2012.005,B_aditivos_envasados_mx,"""aditivos alimentarios"" preenvasados",Crossref,
Métodos de estimação de efeitos genéticos não-aditivos para características de peso e perímetro escrotal em bovinos de corte mestiços,"Bueno, Rachel Santos; Torres, Robledo de Almeida; Ferraz, José Bento Sterman; Lopes, Paulo Sávio; Eler, Joanir Pereira; Mourão, Gerson Barreto; Silva, Martinho de Almeida e; Mattos, Elisângela Chicaroni de",2012,Revista Brasileira de Zootecnia,10.1590/s1516-35982012000500009,B_aditivos_envasados_mx,"""aditivos alimentarios"" preenvasados",Crossref," Os objetivos neste trabalho foram investigar, em uma população de bovinos de corte mestiços a obtenção dos efeitos genéticos não-aditivos para as características peso aos 205 e 390 dias e perímetro escrotal e avaliar a consideração desses efeitos na predição dos valores genéticos dos reprodutores utilizando diferentes metodologias de estimação. No método 1, os dados foram pré-ajustados para os efeitos não-aditivos obtidos pelo método de mínimos quadrados em modelo que considerou os efeitos fixos genéticos aditivos diretos e maternos e os não-aditivos, das heterozigoses direta e materna total, e epistasia. No método 2, os efeitos não-aditivos foram considerados covariáveis no modelo genético. Valores genéticos para os dados ajustados e não-ajustados foram preditos considerando efeitos aleatórios no modelo os efeitos aditivos direto e materno e, para peso aos 205 dias, também o efeito permanente de ambiente. Os valores genéticos dos reprodutores nas categorias analisadas, para a característica peso aos 205 dias, foram organizados em arquivos com a finalidade de verificar alterações na magnitude das predições e no ordenamento dos animais, quanto aos dois métodos de correção dos dados para os efeitos não-aditivos. Os efeitos não-aditivos não se assemelham em magnitude e sentido nos dois métodos de estimação utilizados nem para as características avaliadas. Correlações de Pearson e Spearman entre os valores genéticos foram maiores que 0,94. A utilização dos métodos de estimação a"
Formação continuada em matemática de professores polivalentes – dois estudos sobre resolução de problemas aditivos,"Justo, Jutta Cornelia Reuwsaat; Dorneles, Beatriz Vargas",2012,Revemat: revista eletrônica de educação matemática,10.5007/1981-1322.2012v7n1p78,B_aditivos_envasados_mx,"""aditivos alimentarios"" preenvasados",Crossref,
Uso de aditivos na biodegradação de madeira pelo fungo Ceriporiopsis subvermispora: efeito na peroxidação de lipídios dependente de manganês-peroxidase,"Aguiar, André; Ferraz, André",2012,Química Nova,10.1590/s0100-40422012000600007,B_aditivos_envasados_mx,"""aditivos alimentarios"" preenvasados",Crossref,
Aditivos fitogênicos e butirato de sódio como alternativas aos antibióticos para leitões desmamados,"Costa, L.B.; Almeida, V.V.; Berenchtein, B.; Tse, M.L.P.; Andrade, C.; Miyada, V.S.",2011,Archivos de Zootecnia,10.4321/s0004-05922011000300061,B_aditivos_envasados_mx,"""aditivos alimentarios"" preenvasados",Crossref,
Aditivos fitogênicos e butirato de sódio como promotores de crescimento de leitões desmamados,"Costa, L.B.; Berenchtein, B.; Almeida, V.V.; Tse, M.L.P.; Braz, D.B.; Andrade, C.; Mourão, G.B.; Miyada, V.S.",2011,Archivos de Zootecnia,10.4321/s0004-05922011000300056,B_aditivos_envasados_mx,"""aditivos alimentarios"" preenvasados",Crossref,
AVALIAÇÃO DE ADITIVOS ASSOCIADOS NA ENSILAGEM DE CANA-DE-AÇÚCAR Saccharum officinarum 1,"Athayde, Antônio Augusto Rocha",2012,Nucleus,10.3738/1982.2278.728,B_aditivos_envasados_mx,"""aditivos alimentarios"" preenvasados",Crossref,
UTILIZAÇÃO DE ADITIVOS NATURAIS A PARTIR DA MORINGA OLEIFERA LAM PARA O MELHORAMENTO DA ESTABILIDADE OXIDATIVA DO BIODIESEL,"OLIVEIRA, D.; MORAIS, F.; CÂNDIDA, M.; SANTANA, M.; SOUZA, N.; GAMA, G. J.; SILVA, G. F.",2012,"Revista Gestão, Inovação e Tecnologias",10.7198/s2237-0722201200050006,B_aditivos_envasados_mx,"""aditivos alimentarios"" preenvasados",Crossref,
FILME BIODEGRADÁVEL INCORPORADO COM GLICEROL E ADITIVOS NATURAIS,"Cristina M. Quintella; Reis, Letícia Caribé Batista; Barcellos, Amanda Desireux; Machado, Bruna Aparecida Souza; Druzian, Janice Izabel",2011,Cadernos de Prospecção,10.9771/s.cprosp.2011.004.003,B_aditivos_envasados_mx,"""aditivos alimentarios"" preenvasados",Crossref,
Estudo comparativo de metodologias para a determinação do pH em silagens de capim com aditivos seco e nutritivo,"ANDRADE, Alexandro Pereira; QUADROS, Danilo Gusmão de",2012,Revista Acadêmica: Ciência Animal,10.7213/academica.7529,B_aditivos_envasados_mx,"""aditivos alimentarios"" preenvasados",Crossref,
Avaliações das silagens de bagaço de laranja e de milho com diferentes aditivos protéicos,"Pinto, Andrea Pereira; Mizubuti, Ivone Yurika; Ribeiro, Edson Luiz de A; Pereira, Elzania Sales; Bumbieres Junior, Valter H; Pimentel, Patricia Guimaraes; Salmazo, Rafael; Carneiro, Maria Socorro de S",2012,Semina: Ciências Agrárias,10.5433/1679-0359.2012v33supl2p3305,B_aditivos_envasados_mx,"""aditivos alimentarios"" preenvasados",Crossref,
Composição química e degradabilidade ruminal de silagens da cana-de-açúcar tratada com aditivos químicos e bacteriano,"Fortaleza, Ana Paula de S; Silva, Leandro das Dores F da; Zackm, Edward; Barbero, Rondineli Pavezzi; Ribeiro, Edson Luis de A; Pegoraro, Mauricius; Santos, Luiz Eduardo dos; Mizubuti, Ivone Yurika",2012,Semina: Ciências Agrárias,10.5433/1679-0359.2012v33supl2p3341,B_aditivos_envasados_mx,"""aditivos alimentarios"" preenvasados",Crossref,
"Desempenho e características bioquímicas de leitões submetidos a dietas com aditivos probióticos, prebióticos, simbióticos e antibióticos","Névoa, M.L.; Caramori Júnior, J.G.; Corrêa, G.S.S.; Arantes, V.M.; Kamimura, R.; Gonçalves, F.C.; Oliveira, M.S.F.; Santos, A.L.; Nalon, R.P.",2013,Arquivo Brasileiro de Medicina Veterinária e Zootecnia,10.1590/s0102-09352013000200021,B_aditivos_envasados_mx,"""aditivos alimentarios"" preenvasados",Crossref," Avaliaram-se o desempenho e as características bioquímicas de leitões desmamados, utilizando-se aditivos alternativos em substituição aos antibióticos. Foram utilizados 480 leitões machos, distribuídos em delineamento inteiramente ao acaso, composto por cinco tratamentos. A ração foi à base de milho, farelo de soja e um núcleo comercial para leitões. Os tratamentos consistiram em T1: ração sem aditivos, T2: dieta basal com antibiótico, T3: dieta basal com adição de prebiótico, T4: dieta basal com adição de probiótico e T5: dieta basal com adição de simbiótico. Foram avaliados peso corporal, ganho de peso, consumo de ração e conversão alimentar. Em 50 amostras de sangue de leitões, sendo 10 amostras de cada tratamento, avaliaram-se as concentrações séricas de proteínas totais, de albumina e globulina, a relação albumina:globulina e a fosfatase alcalina, creatinina, alanina aminotransferase, aspartato aminotransferase, gama- glutamiltransferase, colesterol, ureia, cálcio e fósforo e a relação cálcio:fósforo. A substituição de antibióticos por aditivos alternativos não influenciou o desempenho nem as características bioquímicas dos leitões. "
Efeito da densidade do fluxo e da presença de aditivos na soldagem ATIG de aço inoxidável austenítico,"Modenesi, Paulo J.; Colen Neto, Pedro; Apolinário, Eustáquio Roberto; Dias, Kássia Batista",2013,Soldagem &amp; Inspeção,10.1590/s0104-92242013000200005,B_aditivos_envasados_mx,"""aditivos alimentarios"" preenvasados",Crossref," A soldagem ATIG é uma variante simples do processo TIG convencional que permite aumentar a penetração da solda e, por exemplo, possibilitar a soldagem em um passe, com penetração total e sem abertura de chanfro, para juntas com espessura de 5 mm ou mais. Diferentes mecanismos foram propostos para explicar este efeito com destaque para o da contração do arco pela presença de íons negativos e o da alteração no movimento de metal líquido na poça de fusão associada com variações da tensão superficial em função da temperatura. O presente trabalho avalia o efeito da quantidade de um fluxo de um componente (óxido de cromo III, Cr2O3) colocado na superfície da peça e de adições de KClO4 e Al2O3 no formato do cordão de solda. Foram realizados três conjuntos de experimentos consistindo na deposição de cordões sobre chapa de aço inoxidável austenítico ABNT 304 com 5 mm de espessura. No primeiro conjunto, variou-se a quantidade de fluxo usada, no segundo, estudou-se o efeito de adições de KClO4 e, no terceiro, de Al2O3. Foram medidos os sinais elétricos (corrente e tensão) durante a soldagem e, em seções transversais dos cordões, a largura, a penetração e a área do cordão. Os resultados indicaram uma pequena variação na tensão de soldagem (aumento inferior a 1 V) na passagem da soldagem TIG para a ATIG. A concentração superficial de fluxo afetou a penetração da solda, ocorrendo um aumento brusco de penetração e área do cordão para concentrações entre 7,5 e 15 g/m², seguido por uma varia"
UTILIZAÇÃO DE ADITIVOS NATURAIS NO BIODIESEL PARA O MELHORAMENTO DA SUA ESTABILIDADE OXIDATIVA,"Oliveira Filho, Djalma Batista; França, Fernanda Rocha Morais; Sant’Anna, Mikele Cândida Sousa; Santana, Maristela de Fátima Simplício de; Leite, Nadjma Souza; Silva, Gabriel Francisco da",2013,Cadernos de Prospecção,10.9771/s.cprosp.2013.006.028,B_aditivos_envasados_mx,"""aditivos alimentarios"" preenvasados",Crossref,
Fuentes ocultas de fósforo: presencia de aditivos con contenido en fósforo en los alimentos procesados,"Arnaudas Casanova, Laura; Caverni Muñoz, Alberto; Lou Arnal, Luis Miguel; Vercet Tormo, Antonio; Gimeno Orna, José Antonio; Moreno López, Rosario; García Mena, Mercedes; Alvarez Lipe, Rafael; Cuberes Izquierdo, Marta; Etaaboudi, Samia; Sahdalá Santana, Laura; Pérez Pérez, Jesús",2013,Diálisis y Trasplante,10.1016/j.dialis.2013.06.001,B_aditivos_envasados_mx,"""aditivos alimentarios"" preenvasados",Crossref,
Definição de grupos genéticos aditivos visando melhor predição de valores genéticos em bovinos de corte,"Oliveira Júnior, Gerson Antônio de; Eler, Joanir Pereira; Ferraz, José Bento Sterman; Petrini, Juliana; Mattos, Elisângela Chicaroni de; Mourão, Gerson Barreto",2013,Revista Brasileira de Saúde e Produção Animal,10.1590/s1519-99402013000200003,B_aditivos_envasados_mx,"""aditivos alimentarios"" preenvasados",Crossref," O objetivo do estudo foi avaliar a estrutura de grupos genéticos aditivos como uma alternativa para melhor ajuste de animais com paternidade desconhecida nas avaliações genéticas. As características estudadas foram: peso a desmama; peso ao sobreano; ganho de peso pós-desmama em 345 dias; perímetro escrotal ao sobreano e o escore visual de musculosidade ao sobreano. Um banco em que todos os animais tinham paternidade conhecida foi utilizado como grupo controle. A partir deste, três cenários foram criados em que 30; 50 ou 70% dos indivíduos foram aleatoriamente assumidos como animais com paternidade desconhecida. As estratégias consideradas de grupos genéticos aditivos foram: ano de nascimento do animal com paternidade desconhecida; fazenda de nascimento do animal com paternidade desconhecida; ano de nascimento e fazenda de nascimento do animal e um grupo controle negativo que manteve os animais com pais desconhecidos. A estratégia adequada de grupo genético aditivo foi escolhida como sendo aquela que resultou em um maior coeficiente de regressão e com valor genético aditivo mais próximos ao predito para os animais do grupo controle. Os resultados que incluíram a estratégia de grupo genético aditivo nos modelos de predição dos valores genéticos mostraram maior coerência com o grupo controle, frente a não inclusão destes nas análises. Dentre as estratégias propostas, ano de nascimento e fazenda de nascimento do animal e apenas ano de nascimento do animal com paternidade desconh"
APROVEITAMENTO DA BIOMASSA PARA DESENVOLVIMENTO TECNOLÓGICO DE ADITIVOS MELHORADORES DE CETANO,"Universidade Federal da Paraíba; BRANDÃO, M.C.R.; ATHAYDE-FILHO, P.F.; SOUZA, J.K.D.",2013,ANAIS DO SIMPÓSIO INTERNACIONAL DE INOVAÇÃO TECNOLÓGICA - SIMTEC,10.7198/s2318-34032013001032,B_aditivos_envasados_mx,"""aditivos alimentarios"" preenvasados",Crossref,
Estimación de la incidencia de la hepatitis B en Cataluña mediante modelos aditivos generalizados y su relación con las tasas de inmigración y vacunación,"Oviedo, M.; Muñoz, M.P.; Domínguez, Á.",2013,Vacunas,10.1016/j.vacun.2013.08.001,B_aditivos_envasados_mx,"""aditivos alimentarios"" preenvasados",Crossref,
"Desempenho, características qualitativas da carcaça e da carne de novilhas Brangus suplementadas em pastagem recebendo diferentes aditivos nutricionais","Comparin, Marco Aurélio Scarton; Morais, Maria da Graça; Alves, Fabiana Villa; Coutinho, Marcelo Aranda da Silva; Fernandes, Henrique Jorge; Feijó, Gelson Luís Dias; Oliveira, Luiz Orcirio Fialho de; Coelho, Roberta Gomes",2013,Revista Brasileira de Saúde e Produção Animal,10.1590/s1519-99402013000300015,B_aditivos_envasados_mx,"""aditivos alimentarios"" preenvasados",Crossref," Objetivou-se avaliar a eficiência de dietas contendo diferentes aditivos sobre o desempenho, características qualitativas da carcaça e da carne de 150 novilhas Brangus suplementadas a pasto diariamente com 0,32% do peso vivo. Os tratamentos foram: suplemento base (sem aditivos); farinha de algas calcárias (Lithothamnium calcareum) adicionada ao suplemento base; vitamina E e selênio orgânico adicionados ao suplemento base; gordura protegida adicionada ao suplemento base; uma aplicação por via subcutânea de vitamina D 7 dias antes do abate + suplemento base; e uma associação de vitamina E, selênio orgânico e gordura protegida adicionados ao suplemento base + uma aplicação por via subcutânea de vitamina D 7 dias antes do abate. Os animais foram suplementados por 109,80 ± 11,71 dias, quando foram abatidos ao alcançarem 337,95 ± 20,56kg de PV. O delineamento experimental foi inteiramente casualizado, com seis tratamentos e 25 repetições. O desempenho, as características de carcaça e da carne não foram afetados pelos aditivos utilizados. A média da área de olho de lombo de 52,00 cm² e a média da espessura de gordura subcutânea de 3,58mm dos animais que receberam a associação de aditivos não diferiram dos valores dos animais do tratamento controle. A adição de vitamina D3 não teve efeito sobre a força de cisalhamento da carne. O uso de aditivos conforme os protocolos adotados não foi eficiente para melhorar o desempenho, as características de carcaça e as características físicas da"
Efeito de aditivos na composição bromatológica e qualidade de silagens de coproduto do desfibramento do sisal,"Brandão, Luiz Gustavo Neves; Pereira, Luiz Gustavo Ribeiro; Azevêdo, José Augusto Gomes de; Santos, Rafael Dantas dos; Araújo, Gherman Garcia Leal de; Dórea, João Ricardo Rebouças; Neves, André Luis Alves",2013,Semina: Ciências Agrárias,10.5433/1679-0359.2013v34n6p2991,B_aditivos_envasados_mx,"""aditivos alimentarios"" preenvasados",Crossref,
Aditivos alimentares na dieta de bovinos confinados,"Barducci, R.S.; Sarti, L.M.; Millen, D.D.; Pacheco, R.D.L.; Baldin, S.R.; Parra, F.S.; Putarov, T.C.; Martins, C.L.; Arrigoni, M.D.B.",2013,Arquivo Brasileiro de Medicina Veterinária e Zootecnia,10.1590/s0102-09352013000600002,B_aditivos_envasados_mx,"""aditivos alimentarios"" preenvasados",Crossref," O objetivo do presente trabalho foi avaliar o efeito da inclusão do preparado de anticorpos policlonais (PAP) e/ou da monensina sódica (MON) sobre o desempenho, as características da carcaça, o perfil de ácidos graxos da carcaça (PAG) e a concentração de lipoproteínas sanguíneas (CLS) de bovinos confinados. O delineamento experimental foi inteiramente ao acaso, em arranjo fatorial 2 x 2, com medidas repetidas no tempo, sendo os fatores a inclusão ou não de MON e PAP avaliados em dois períodos, em que 72 bovinos machos da raça Brangus, não castrados, foram alocados em 24 baias (três animais/baia), totalizando seis repetições por tratamento. Não foi observado efeito (P&gt;0,05) da inclusão do PAP para nenhuma das varáveis de desempenho e características de carcaça. Contudo, foi observado efeito (P&lt;0,05) da inclusão de MON, em que animais que receberam MON apresentaram maiores ganho de peso diário (1,666 vs. 1,552), ganho de peso total (179,95 vs. 167,68), peso vivo final (474,86 vs. 459,61), peso de carcaça quente (248,46 vs. 240,20), melhor conversão alimentar (5,57 vs. 5,79) e reduzido custo para ganhar um quilo de peso vivo (3,06 vs. 3,18). Ainda não foi observado efeito principal (P&gt;0,05) dos aditivos para o PAG e a CLS. Assim, a inclusão do PAP não foi boa alternativa à substituição da MON. Por outro lado, a inclusão do PAP não afetou negativamente os itens estudados. "
Cinética de degradação ruminal de silagens de Brachiaria brizantha com diferentes aditivos microbianos,"Prado, Odimári Pricila Pires do; Fernandes, Danielle Bandeira; Bumbieris Junior, Valter Harry; Mizubuti, Ivone Yurika; Ribeiro, Edson Luis de Azambuja; Massaro Junior, Fernando Luiz; Peixoto, Eduardo Lucas Terra; Silva, Leandro Das Dores Ferreira da; Muniz, Carolina Amália De Souza Dantas; Barbosa, Marco Aurélio Alves de Freitas",2013,Semina: Ciências Agrárias,10.5433/1679-0359.2013v34n6supl2p4025,B_aditivos_envasados_mx,"""aditivos alimentarios"" preenvasados",Crossref,
Cinética de degradação ruminal de silagens de Brachiaria decumbens com diferentes aditivos nitrogenados,"Prado, Odimári Pricila Pires do; Bumbieris Júnior, Valter Harry; Floriano, Anderson Rogério; Abreu, Paula Franciele da Silva; Mizubuti, Ivone Yurika; Ribeiro, Edson Luis de Azambuja; Massaro Junior, Fernando Luiz; Peixoto, Eduardo Lucas Terra; Silva, Leandro Das Dores Ferreira da; Barbosa, Marco Aurélio Alves de Freitas",2013,Semina: Ciências Agrárias,10.5433/1679-0359.2013v34n6supl2p4093,B_aditivos_envasados_mx,"""aditivos alimentarios"" preenvasados",Crossref,
Efeito de Aditivos Desaerantes nas Características de Compósitos de Epóxi/Fibras de Vidro,"Oliveira, Alexsandro; Becker, Cristiane Miotto; Amico, Sandro Campos",2014,Polímeros Ciência e Tecnologia,10.4322/polimeros.2014.059,B_aditivos_envasados_mx,"""aditivos alimentarios"" preenvasados",Crossref,
EFEITOS DE ADITIVOS POLIMÉRICOS NAS PROPRIEDADES REOLÓGICAS E DE FILTRAÇÃO DE FLUIDOS DE PERFURAÇÃO,"Lucena, Danielly Vieira de; Lira, Hélio de Lucena; Amorim, Luciana Viana",2014,Tecnologia em Metalurgia Materiais e Mineração,10.4322/tmm.2014.010,B_aditivos_envasados_mx,"""aditivos alimentarios"" preenvasados",Crossref,
Efeito de vitaminas e esterol como aditivos foliares no desenvolvimento de Bombyx mori L. e influência do modo de aplicação,"Bortoli, Sergio Antonio De; Dias, Luciane Sandrini; Takahashi, Roque; Miranda, José Ednilson; De Bortoli, Caroline Placidi",2014,Arquivos do Instituto Biológico,10.1590/s1808-16572014000100010,B_aditivos_envasados_mx,"""aditivos alimentarios"" preenvasados",Crossref," O objetivo deste estudo foi avaliar os efeitos e os métodos de aplicação dos aditivos foliares decanoato de nandrolona (esteroide anabolizante) a 0,5%, ácido ascórbico (vitamina C) a 0,5%, palmitato de retinol (vitamina A) a 0,5% e acetato de retinol (vitamina A) a 1,0% em alguns parâmetros biológicos do bicho-da-seda. No experimento do modo de aplicação (pulverização foliar antes do fornecimento, depois do fornecimento e por imersão antes do fornecimento) foram utilizados: decanoato de nandrolona 0,5%; ácido ascórbico 0,5%; e palmitato de retinol 0,5%. No ensaio de desenvolvimento do inseto foram avaliados: duração e viabilidade larval; peso de casulo; taxa de encasulamento; teor líquido de seda; longevidade de adultos; número de ovos por fêmea; e duração do período de subida ao bosque. Para o modo de aplicação determinaram-se: ganho de peso, comprimento, diâmetro do tórax e diâmetro do abdome de lagartas de 5º ínstar, assim como comprimento, diâmetro e peso de glândula sericígena. Os resultados mostraram que, apesar de o ácido ascórbico proporcionar os melhores valores para o desenvolvimento corpóreo das lagartas, este não corresponde a incrementos significativos na produção; o palmitato de retinol não melhora o desenvolvimento das lagartas; o acetato de retinol e o palmitato de retinol prolongam o período larval, sem, no entanto, alterar significativamente os parâmetros de produção; a imersão de folhas antes do fornecimento às lagartas é mais viável para a aplicação dos a"
Desempenho e rendimento de carcaça de frangos de corte alimentados com mistura de aditivos fitogênicos na dieta,"Koiyama, Natália Thaís Gonçalves; Rosa, Alexandre Pires; Padilha, Marília Terezinha Sangoi; Boemo, Lenise Schröder; Scher, Anelcir; Melo, Andréia Medianeira da Silva; Fernandes, Mariane de Oliveira",2014,Pesquisa Agropecuária Brasileira,10.1590/s0100-204x2014000300009,B_aditivos_envasados_mx,"""aditivos alimentarios"" preenvasados",Crossref," O objetivo deste trabalho foi avaliar o efeito de misturas de aditivos fitogênicos na dieta de frangos de corte, sobre seu desempenho zootécnico e rendimento de carcaça. Foram avaliados 660 pintos de sexo misto, entre 1 e 42 dias de idade, em delineamento inteiramente casualizado, com cinco tratamentos e seis repetições de 22 aves (11 machos e 11 fêmeas). Além do controle, foram avaliados tratamentos com antibiótico (10 ppm de virginiamicina) ou com misturas de aditivos fitogênicos: mistura A, 150 ppm de óleos essenciais de alecrim, cravo, gengibre e orégano; mistura B, 150 ppm de óleos essenciais de canela, sálvia, tomilho branco e óleo-resina de copaíba; e mistura A+B, 50% da mistura A e 50% da B. A mistura B proporcionou maior ganho de peso e melhor conversão alimentar das aves, no período de 36 a 42 dias de idade. No período total do experimento, o antibiótico e a mistura B proporcionaram maior ganho de peso das aves. O consumo de ração foi maior com o antibiótico do que com o controle. A mistura A+B e o tratamento controle proporcionaram maior rendimento de coxa+sobrecoxa e maior peso relativo do baço. As mistura B e A+B apresentam potencial como melhoradores de desempenho para frangos de corte. "
MAPEAMENTO PATENTÁRIO DE RECUPERAÇÃO AVANÇADA DE PETRÓLEO (EOR) COM ADITIVOS POLIMÉRICOS/BIOPOLIMÉRICOS E SURFACTANTES,"Marques, Landson Soares; Carvalho, Robert R.; Souza, Marciele A.; Santos, Lauro Tiago S.; Guimarães, Alexandre Kamei; Quintella, Cristina M.",2014,Cadernos de Prospecção,10.9771/s.cprosp.2014.007.021,B_aditivos_envasados_mx,"""aditivos alimentarios"" preenvasados",Crossref,
Valor nutricional de silagem de capim-mombaça com aditivos agroindustriais,"Oliveira, Euclides Reuter de; Monção, Flávio Pinto; Moura, Lais Valenzuela; Gabriel, Andréa Maria de Araújo; Góes, Rafael Henrique de T. B. de; Lempp, Beatriz; Nascimento, Felipe De Almeida",2014,Semina: Ciências Agrárias,10.5433/1679-0359.2014v35n3p1543,B_aditivos_envasados_mx,"""aditivos alimentarios"" preenvasados",Crossref,
"Separación de los efectos epistáticos, aditivos y dominantes en maíz.","Mendoza, Mariano; López, Alfonso; Rodríguez, Sergio A.; De León, Carlos; Jeffers, Dan",2014,Agronomía Mesoamericana,10.15517/am.v13i1.12231,B_aditivos_envasados_mx,"""aditivos alimentarios"" preenvasados",Crossref,
